RPM,SPEED,THROTTLE_POS,MAF,COOLANT_TEMP,INTAKE_TEMP,O2_B1S1,ENGINE_LOAD,INTAKE_PRESSURE,O2_B1S2,SHORT_FUEL_TRIM_1,LONG_FUEL_TRIM_1,segment_id
2956,104,38.04,14.3,96,26,0.125,18.43,82,0.22,-1.562,5.469,6
2918,103,35.29,11.1,96,26,0.125,14.12,67,0.22,3.906,10.16,6
2857,101,35.29,10.85,96,26,0.13,14.51,67,0.215,-1.562,10.16,6
2791,98,35.69,11.65,96,26,0.13,16.08,69,0.215,-1.562,10.16,6
2796,99,38.04,14.23,96,26,0.13,19.61,85,0.215,2.344,6.25,6
2776,98,38.43,14.71,96,26,0.72,20.39,83,0.185,-2.344,6.25,6
2772,98,38.43,14.46,96,26,0.72,20.39,83,0.185,-0.7812,5.469,6
2736,97,38.82,14.75,96,26,0.72,20.78,84,0.185,2.344,5.469,6
2726,96,43.14,20.82,96,26,0.69,29.8,91,0.3,2.344,0,6
2792,98,40.39,16.82,96,26,0.69,23.53,87,0.3,1.562,4.688,6
2836,100,37.65,13.36,96,26,0.69,18.04,78,0.3,4.688,4.688,6
2857,101,37.65,13.25,96,26,0.75,18.04,79,0.18,-0.7812,5.469,6
2947,104,40.78,17.08,96,26,0.75,22.35,87,0.18,-5.469,3.125,6
2969,105,29.8,5.75,96,26,0.75,7.059,30,0.18,-1.562,15.62,6
2887,101,40.78,23.39,97,26,0.79,30.98,86,0.64,-5.469,10.94,6
3020,107,42.35,19.6,97,26,0.79,24.71,92,0.64,-3.125,-0.7812,6
3055,108,38.04,14.39,97,26,0.79,18.04,81,0.64,3.906,3.125,6
3034,107,36.08,12.04,97,26,0.72,14.9,75,0.17,-1.562,9.375,6
3013,106,42.75,18.11,97,26,0.72,22.35,95,0.17,-3.125,6.25,6
3004,106,37.25,13.03,97,26,0.72,16.47,80,0.17,2.344,3.906,6
2954,104,38.04,13.83,97,26,0.62,18.04,83,0.185,3.906,6.25,6
2972,105,40,15.97,97,26,0.62,20.78,88,0.185,0,6.25,6
2955,104,40,15.99,97,26,0.62,20.39,87,0.185,-6.25,6.25,6
2961,104,40,16.17,97,26,0.1,20.78,88,0.44,-3.125,5.469,6
2982,105,31.76,7.21,97,26,0.1,9.02,47,0.44,-3.906,10.16,6
2997,106,39.22,15.21,97,26,0.1,19.22,85,0.44,-4.688,5.469,6
3041,107,38.82,14.88,97,26,0.1,18.43,84,0.67,3.125,5.469,6
3064,108,38.82,14.98,97,26,0.1,18.43,87,0.67,-2.344,5.469,6
3088,109,38.04,14.04,97,26,0.1,17.25,84,0.67,-3.125,5.469,6
3011,106,27.84,4.53,97,26,0.15,5.49,26,0.205,-4.688,24.22,6
2854,101,34.12,9.32,97,26,0.15,12.55,42,0.205,-7.031,14.06,6
2801,99,35.69,11.23,97,26,0.15,15.29,70,0.205,-3.125,10.16,6
2850,101,39.61,15.57,97,26,0.08,21.18,87,0.675,3.906,5.469,6
2914,103,39.61,15.82,97,26,0.08,20.78,86,0.675,2.344,5.469,6
2950,104,39.61,15.65,97,26,0.08,20.39,89,0.675,-3.125,5.469,6
2954,104,40,16.3,97,26,0.69,21.18,89,0.37,1.562,5.469,6
2937,104,38.43,14.37,97,26,0.69,18.43,85,0.37,0,5.469,6
2840,100,41.18,17.27,97,25,0.69,23.53,92,0.37,-3.125,5.469,6
2913,103,37.65,13.77,96,25,0.145,18.43,82,0.44,6.25,5.469,6
2922,103,37.65,13.83,96,26,0.145,18.04,80,0.44,-5.469,10.94,6
2952,104,37.65,14.02,96,26,0.145,18.04,81,0.44,1.562,5.469,6
2988,106,39.61,15.61,96,25,0.73,20,89,0.575,0.7812,4.688,6
2904,101,32.16,7.32,96,26,0.73,9.804,34,0.575,-2.344,14.84,6
2792,98,33.73,8.9,96,26,0.73,12.16,55,0.575,-5.469,10.16,6
2809,99,40.39,17.07,96,25,0.1,23.53,89,0.275,-4.688,6.25,6
2940,104,41.18,17.91,96,25,0.1,23.14,88,0.275,2.344,0,6
2989,105,40.78,17.09,96,25,0.1,21.96,91,0.275,-2.344,5.469,6
2978,105,41.18,17.15,96,25,0.295,21.96,92,0.63,0.7812,5.469,6
2941,104,41.18,17.34,96,25,0.295,22.75,90,0.63,-0.7812,3.125,6
2982,105,41.18,17.17,96,25,0.295,21.96,91,0.63,3.906,3.125,6
3030,107,38.43,14.56,97,25,0.61,18.43,85,0.145,5.469,3.125,6
3015,106,35.29,11.2,97,25,0.61,14.51,69,0.145,-0.7812,10.16,6
3013,106,36.08,11.81,97,25,0.61,14.9,72,0.145,1.562,10.16,6
3037,107,39.61,16.11,97,25,0.385,20,87,0.68,0.7812,1.562,6
2978,105,36.86,13.03,97,25,0.385,16.86,75,0.68,1.562,10.16,6
2922,103,36.08,11.8,97,25,0.385,15.29,73,0.68,-4.688,10.16,6
2826,100,34.12,9.38,97,26,0.2,12.55,55,0.635,-0.7812,10.16,6
2841,100,37.65,13.66,97,25,0.2,18.43,81,0.635,3.906,2.344,6
2790,98,34.51,9.6,97,26,0.2,13.33,61,0.635,2.344,10.94,6
2804,99,41.57,18.48,97,25,0.84,25.1,89,0.725,2.344,2.344,6
2874,101,40.78,17.12,97,25,0.84,22.75,88,0.725,-0.7812,3.906,6
2872,101,35.69,11.7,97,25,0.84,15.69,70,0.725,2.344,10.16,6
2847,100,36.86,12.67,97,25,0.7,17.25,76,0.62,-3.906,10.16,6
2819,99,36.08,11.83,97,25,0.7,16.08,74,0.62,-3.906,10.16,6
2787,98,37.25,13.27,97,25,0.7,18.43,78,0.62,5.469,3.906,6
2776,98,37.25,12.95,97,25,0.11,18.04,77,0.175,0,7.031,6
2852,101,50.59,24.27,97,25,0.11,32.16,97,0.175,-3.125,0,6
2944,104,40,16.04,97,25,0.11,20.78,86,0.175,-3.125,6.25,6
2984,105,36.47,12.34,97,25,0.115,15.69,75,0.575,0,7.031,6
2931,103,37.65,13.49,97,25,0.115,17.65,82,0.575,-3.906,10.16,6
2988,106,41.18,17.65,97,25,0.115,22.35,88,0.575,-3.125,5.469,6
3012,106,37.65,13.67,97,25,0.72,17.65,81,0.205,0,10.16,6
2869,102,26.67,4.09,97,25,0.72,5.49,26,0.205,-5.469,12.5,6
2754,97,34.9,10.19,97,26,0.72,14.51,57,0.205,-4.688,10.94,6
2917,103,43.92,21.96,97,25,0.185,29.02,91,0.725,1.562,-0.7812,6
3038,107,34.51,8.57,97,25,0.185,10.2,66,0.725,-1.562,4.688,6
3004,106,34.12,9.22,97,25,0.185,11.76,52,0.725,-8.594,12.5,6
2620,92,26.27,3.83,97,26,0.01,5.49,26,0.67,0,17.97,6
2559,90,39.22,16.55,97,25,0.01,25.49,82,0.67,4.688,3.125,6
2478,87,25.88,3.65,97,26,0.01,5.49,25,0.67,0,17.97,6
2403,85,39.22,15.79,96,25,0,26.27,84,0,1.562,3.906,6
2382,84,32.94,8.05,96,25,0,13.33,58,0,4.688,10.16,6
2256,80,34.12,9.62,96,26,0,17.25,55,0,3.125,14.06,6
2350,83,40,16.43,96,25,0.73,28.63,88,0.645,3.125,3.906,6
2486,88,34.51,9.62,96,25,0.73,14.9,63,0.645,0,7.812,6
2452,87,29.41,5.38,96,25,0.73,9.02,36,0.645,-1.562,14.84,6
2282,81,30.2,5.93,96,25,0.72,10.59,46,0.23,-0.7812,15.62,6
2258,80,36.86,12.59,96,25,0.72,22.75,76,0.23,-0.7812,10.94,6
2255,79,32.16,7.45,96,25,0.72,12.94,59,0.23,-4.688,10.94,6
2064,73,36.08,11.93,96,26,0.695,23.92,72,0.59,-2.344,12.5,6
